value,key
1,2011-01-24 15-35
1,2011-01-24 15-35
1,2011-01-25 13-51
1,2011-01-25 16-25
1,2011-01-26 01-30
1,2011-01-26 03-50
1,2011-01-27 16-44
1,2011-01-27 16-58
1,2011-01-27 19-40
1,2011-01-28 02-59
1,2011-01-28 04-04
1,2011-01-28 05-24
1,2011-01-28 06-08
1,2011-01-28 07-09
1,2011-01-28 07-14
1,2011-01-28 07-34
1,2011-01-28 07-54
1,2011-01-28 08-06
1,2011-01-28 08-26
1,2011-01-28 08-36
1,2011-01-28 08-44
1,2011-01-28 09-13
1,2011-01-28 09-14
1,2011-01-28 09-33
1,2011-01-28 09-39
2,2011-01-28 09-41
1,2011-01-28 10-49
1,2011-01-28 11-13
1,2011-01-28 11-23
1,2011-01-28 11-35
1,2011-01-28 11-54
2,2011-01-28 12-14
1,2011-01-28 12-24
1,2011-01-28 12-52
1,2011-01-28 13-15
2,2011-01-28 14-19
1,2011-01-28 14-39
1,2011-01-28 15-05
