relevant_percent_user_gets_retweeted,followers_percentile,created_at,screen_name,relevant_percent_original_tweets,relevant_total,irrelevant_percent_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,irrelevant_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_retweets,statuses_count,relevant_percent_user_retweets,irrelevant_total,followers_count,statuses_percentile
n/a,0.0862699034194727,2007-05-11 19:14:39,boingboing,n/a,n/a,0.0,0,0.933333333333333,28,0.101853302009919,1.0,0,26136,n/a,30,0,0.101853302009919
n/a,0.0862699034194727,2007-05-11 19:14:39,boingboing,n/a,n/a,0.0,0,0.933333333333333,28,0.101853302009919,1.0,0,26136,n/a,30,0,0.101853302009919
n/a,0.0600104411380841,2007-03-17 09:57:25,wired,n/a,n/a,0.0,0,1.0,6,0.0737666405638214,1.0,0,6408,n/a,6,0,0.0737666405638214
n/a,n/a,n/a,NiemanLab,n/a,n/a,0.0,n/a,0.869565217391304,20,n/a,1.0,0,n/a,n/a,23,n/a,n/a
n/a,0.124353954581049,2008-10-23 20:47:35,democracynow,n/a,n/a,0.0,0,1.0,20,0.163873662229183,1.0,0,3508,n/a,20,0,0.163873662229183
n/a,n/a,n/a,nonprofitorgs,n/a,n/a,0.0,n/a,1.0,7,n/a,1.0,0,n/a,n/a,7,n/a,n/a
n/a,0.999086400417646,2008-09-06 04:05:26,amnesty,n/a,n/a,0.0,6702,1.0,4,0.999086400417646,1.0,0,2477,n/a,4,125233,0.999086400417646
n/a,n/a,n/a,egytweets,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,n/a
n/a,0.0841816758026624,2011-01-05 19:52:33,twitterglobalpr,n/a,n/a,n/a,0,n/a,"",0.122135212738189,n/a,"",13,n/a,n/a,0,0.122135212738189
n/a,n/a,n/a,twitter,n/a,n/a,0.0,n/a,1.0,2,n/a,1.0,0,n/a,n/a,2,n/a,n/a
n/a,0.170033933698773,2007-04-25 07:26:03,ustream,n/a,n/a,0.0,0,1.0,3,0.180553380318455,1.0,0,8439,n/a,3,0,0.180553380318455
n/a,n/a,n/a,vodafoneegypt,n/a,n/a,0.0,n/a,0.0,0,n/a,1.0,0,n/a,n/a,8,n/a,n/a
n/a,0.109475332811276,2007-03-07 01:27:09,techcrunch,n/a,n/a,0.0,0,1.0,64,0.0638997650743931,1.0,0,24367,n/a,64,0,0.0638997650743931
n/a,0.0305925345862699,2008-10-04 06:41:05,wikileaks,n/a,n/a,n/a,0,n/a,"",0.0214565387627251,n/a,"",3033,n/a,n/a,0,0.0214565387627251
n/a,n/a,n/a,youtube,n/a,n/a,0.0,n/a,0.566666666666667,17,n/a,1.0,0,n/a,n/a,30,n/a,n/a
n/a,0.976376925084834,2009-06-01 10:40:45,telecomix,n/a,n/a,n/a,99,n/a,"",0.976376925084834,n/a,"",7490,n/a,n/a,4107,0.976376925084834
