relevant_total,followers_count,irrelevant_percent_user_gets_retweeted,statuses_percentile,followers_percentile,irrelevant_percent_original_tweets,created_at,relevant_percent_user_retweets,screen_name,irrelevant_total,relevant_percent_user_gets_retweeted,friends_count,relevant_percent_original_tweets,friends_percentile,irrelevant_percent_user_retweets,statuses_count
39,0,0.906832298136646,0.169869652406417,0.155701632221046,1.0,2007-05-11 19:14:39,0.0,boingboing,161,1.0,0,1.0,0.169879115369617,0.0,26136
39,0,0.906832298136646,0.169869652406417,0.155701632221046,1.0,2007-05-11 19:14:39,0.0,boingboing,161,1.0,0,1.0,0.169879115369617,0.0,26136
7,0,0.83419689119171,0.254846256684492,0.195225892707927,0.963730569948187,2007-03-17 09:57:25,0.0,wired,193,1.0,0,1.0,0.254860453456632,0.0362694300518135,6408
0,n/a,0.865,n/a,n/a,0.995,n/a,NaN,NiemanLab,200,NaN,n/a,NaN,n/a,0.005,n/a
35,0,0.993939393939394,0.0622493315508021,0.0164893320706367,0.993939393939394,2008-10-23 20:47:35,0.0,democracynow,165,1.0,0,1.0,0.0622527992869478,0.00606060606060606,3508
0,n/a,0.73,n/a,n/a,0.95,n/a,NaN,nonprofitorgs,200,NaN,n/a,NaN,n/a,0.05,n/a
9,124524,0.93717277486911,0.999164438502674,0.99916439195588,0.994764397905759,2008-09-06 04:05:26,0.0,amnesty,191,1.0,6703,1.0,0.99916439195588,0.00523560209424084,2466
58,n/a,0.028169014084507,n/a,n/a,1.0,n/a,0.0,egytweets,142,0.0344827586206897,n/a,1.0,n/a,0.0,n/a
0,0,0.6,0.242897727272727,0.259651272909587,0.7,2011-01-05 19:52:33,NaN,twitterglobalpr,20,NaN,0,NaN,0.242911258425714,0.3,13
0,n/a,0.76,n/a,n/a,0.76,n/a,NaN,twitter,200,NaN,n/a,NaN,n/a,0.24,n/a
3,0,0.67005076142132,0.0434770499108734,0.0376023619854047,0.751269035532995,2007-04-25 07:26:03,0.0,ustream,197,1.0,0,1.0,0.0434794718957161,0.248730964467005,8439
4,n/a,0.13265306122449,n/a,n/a,0.964285714285714,n/a,0.25,vodafoneegypt,196,0.5,n/a,0.75,n/a,0.0357142857142857,n/a
0,0,0.985,0.22958444741533,0.215531168180046,0.995,2007-03-07 01:27:09,NaN,techcrunch,200,NaN,0,NaN,0.229597236922734,0.005,24367
1,0,1.0,0.127116755793226,0.146036432510724,1.0,2008-10-04 06:41:05,0.0,wikileaks,199,1.0,0,1.0,0.127123837112139,0.0,3033
0,n/a,0.84,n/a,n/a,0.91,n/a,NaN,youtube,200,NaN,n/a,NaN,n/a,0.09,n/a
93,4054,0.785046728971963,0.977746212121212,0.977744972424935,1.0,2009-06-01 10:40:45,0.0,telecomix,107,0.989247311827957,99,1.0,0.977744972424935,0.0,7449
